ticker,date,open_price,close_price,high_price,low_price,volume
AAPL,2021-01-04,133.520004,129.410004,133.610001,126.760002,143301900
AAPL,2021-01-05,128.889999,131.009995,131.740005,128.429993,97664900
AAPL,2021-01-06,127.720001,126.599998,131.050003,126.379997,155088000
AAPL,2021-01-07,128.360001,130.919998,131.630005,127.860001,109578200
AAPL,2021-01-08,132.429993,132.050003,132.630005,130.229996,105158200
AAPL,2021-01-11,129.190002,128.979996,130.169998,128.5,100384500
AAPL,2021-01-12,128.5,128.800003,129.690002,126.860001,91951100
AAPL,2021-01-13,128.759995,130.889999,131.449997,128.490005,88636800
AAPL,2021-01-14,130.800003,128.910004,131.0,128.759995,90221800
AAPL,2021-01-15,128.779999,127.139999,130.220001,127.0,111598500
AAPL,2021-01-19,127.779999,127.830002,128.710007,126.940002,90757300
AAPL,2021-01-20,128.660004,132.029999,132.490005,128.550003,104319500
AAPL,2021-01-21,133.800003,136.869995,139.669998,133.589996,120150900
AAPL,2021-01-22,136.279999,139.070007,139.850006,135.020004,114459400
AAPL,2021-01-25,143.070007,142.919998,145.089996,136.539993,157611700
AAPL,2021-01-26,143.600006,143.160004,144.300003,141.369995,98390600
AAPL,2021-01-27,143.429993,142.059998,144.300003,140.410004,140843800
AAPL,2021-01-28,139.520004,137.089996,141.990005,136.699997,142621100
AAPL,2021-01-29,135.830002,131.960007,136.740005,130.210007,177523800
AAPL,2021-02-01,133.75,134.139999,135.380005,130.929993,106239800
AAPL,2021-02-02,135.729996,134.990005,136.309998,134.610001,83305400
AAPL,2021-02-03,135.759995,133.940002,135.770004,133.610001,89880900
AAPL,2021-02-04,136.300003,137.389999,137.399994,134.589996,84183100
AAPL,2021-02-05,137.350006,136.759995,137.419998,135.860001,75693800
AAPL,2021-02-08,136.029999,136.910004,136.960007,134.919998,71297200
AAPL,2021-02-09,136.619995,136.009995,137.880005,135.850006,76774200
AAPL,2021-02-10,136.479996,135.389999,136.990005,134.399994,73046600
AAPL,2021-02-11,135.899994,135.130005,136.389999,133.770004,64280000
AAPL,2021-02-12,134.350006,135.369995,135.529999,133.690002,60145100
AAPL,2021-02-16,135.490005,133.190002,136.009995,132.789993,80576300
AAPL,2021-02-17,131.25,130.839996,132.220001,129.470001,97918500
AAPL,2021-02-18,129.199997,129.710007,130.0,127.410004,96856700
AAPL,2021-02-19,130.240005,129.869995,130.710007,128.800003,87668800
AAPL,2021-02-22,128.009995,126.0,129.720001,125.599998,103916400
AAPL,2021-02-23,123.760002,125.860001,126.709999,118.389999,158273000
AAPL,2021-02-24,124.940002,125.349998,125.559998,122.230003,111039900
AAPL,2021-02-25,124.68,120.989998,126.459999,120.540001,148199500
AAPL,2021-02-26,122.589996,121.260002,124.849998,121.199997,164560400
AAPL,2021-03-01,123.75,127.790001,127.93,122.790001,116307900
AAPL,2021-03-02,128.410004,125.120003,128.720001,125.010002,102260900
AAPL,2021-03-03,124.809998,122.059998,125.709999,121.839996,112966300
AAPL,2021-03-04,121.75,120.129997,123.599998,118.620003,178155000
AAPL,2021-03-05,120.980003,121.419998,121.940002,117.57,153766600
AAPL,2021-03-08,120.93,116.360001,121.0,116.209999,154376600
AAPL,2021-03-09,119.029999,121.089996,122.059998,118.790001,129525800
AAPL,2021-03-10,121.690002,119.980003,122.169998,119.449997,111943300
AAPL,2021-03-11,122.540001,121.959999,123.209999,121.260002,103026500
AAPL,2021-03-12,120.400002,121.029999,121.169998,119.160004,88105100
AAPL,2021-03-15,121.410004,123.989998,124.0,120.419998,92403800
AAPL,2021-03-16,125.699997,125.57,127.220001,124.720001,115227900
AAPL,2021-03-17,124.050003,124.760002,125.860001,122.339996,111932600
AAPL,2021-03-18,122.879997,120.529999,123.18,120.32,121229700
AAPL,2021-03-19,119.900002,119.989998,121.43,119.68,185549500
AAPL,2021-03-22,120.330002,123.389999,123.870003,120.260002,111912300
AAPL,2021-03-23,123.330002,122.540001,124.239998,122.139999,95467100
AAPL,2021-03-24,122.82,120.089996,122.900002,120.07,88530500
AAPL,2021-03-25,119.540001,120.589996,121.660004,119.0,98844700
AAPL,2021-03-26,120.349998,121.209999,121.480003,118.919998,94071200
AAPL,2021-03-29,121.650002,121.389999,122.580002,120.730003,80819200
AAPL,2021-03-30,120.110001,119.900002,120.400002,118.860001,85671900
AAPL,2021-03-31,121.650002,122.150002,123.519997,121.150002,118323800
AAPL,2021-04-01,123.660004,123.0,124.18,122.489998,75089100
AAPL,2021-04-05,123.870003,125.900002,126.160004,123.07,88651200
AAPL,2021-04-06,126.5,126.209999,127.129997,125.650002,80171300
AAPL,2021-04-07,125.830002,127.900002,127.919998,125.139999,83466700
AAPL,2021-04-08,128.949997,130.360001,130.389999,128.520004,88844600
AAPL,2021-04-09,129.800003,133.0,133.039993,129.470001,106686700
AAPL,2021-04-12,132.520004,131.240005,132.850006,130.630005,91420000
AAPL,2021-04-13,132.440002,134.429993,134.660004,131.929993,91266500
AAPL,2021-04-14,134.940002,132.029999,135.0,131.660004,87222800
AAPL,2021-04-15,133.820007,134.5,135.0,133.639999,89347100
AAPL,2021-04-16,134.300003,134.160004,134.669998,133.279999,84922400
AAPL,2021-04-19,133.509995,134.839996,135.470001,133.339996,94264200
AAPL,2021-04-20,135.020004,133.110001,135.529999,131.809998,94812300
AAPL,2021-04-21,132.360001,133.5,133.75,131.300003,68847100
AAPL,2021-04-22,133.039993,131.940002,134.149994,131.410004,84566500
AAPL,2021-04-23,132.160004,134.320007,135.119995,132.160004,78657500
AAPL,2021-04-26,134.830002,134.720001,135.059998,133.559998,66905100
AAPL,2021-04-27,135.009995,134.389999,135.410004,134.110001,66015800
AAPL,2021-04-28,134.309998,133.580002,135.020004,133.080002,107760100
AAPL,2021-04-29,136.470001,133.479996,137.070007,132.449997,151101000
AAPL,2021-04-30,131.779999,131.460007,133.559998,131.070007,109839500
AAPL,2021-05-03,132.039993,132.539993,134.070007,131.830002,75135100
AAPL,2021-05-04,131.190002,127.849998,131.490005,126.699997,137564700
AAPL,2021-05-05,129.199997,128.100006,130.449997,127.970001,84000900
AAPL,2021-05-06,127.889999,129.740005,129.75,127.129997,78128300
AAPL,2021-05-07,130.850006,130.210007,131.259995,129.479996,78973300
AAPL,2021-05-10,129.410004,126.849998,129.539993,126.809998,88071200
AAPL,2021-05-11,123.5,125.910004,126.269997,122.769997,126142800
AAPL,2021-05-12,123.400002,122.769997,124.639999,122.25,112172300
AAPL,2021-05-13,124.580002,124.970001,126.150002,124.260002,105861300
AAPL,2021-05-14,126.25,127.449997,127.889999,125.849998,81918000
AAPL,2021-05-17,126.82,126.269997,126.93,125.169998,74244600
AAPL,2021-05-18,126.559998,124.849998,126.989998,124.779999,63342900
AAPL,2021-05-19,123.160004,124.690002,124.919998,122.860001,92612000
AAPL,2021-05-20,125.230003,127.309998,127.720001,125.099998,76857100
AAPL,2021-05-21,127.82,125.43,128.0,125.209999,79295400
AAPL,2021-05-24,126.010002,127.099998,127.940002,125.940002,63092900
AAPL,2021-05-25,127.82,126.900002,128.320007,126.32,72009500
AAPL,2021-05-26,126.959999,126.849998,127.389999,126.419998,56575900
AAPL,2021-05-27,126.440002,125.279999,127.639999,125.080002,94625600
AAPL,2021-05-28,125.57,124.610001,125.800003,124.550003,71311100
AAPL,2021-06-01,125.080002,124.279999,125.349998,123.940002,67637100
AAPL,2021-06-02,124.279999,125.059998,125.239998,124.050003,59278900
AAPL,2021-06-03,124.68,123.540001,124.849998,123.129997,76229200
AAPL,2021-06-04,124.07,125.889999,126.160004,123.849998,75169300
AAPL,2021-06-07,126.169998,125.900002,126.32,124.830002,71057600
